學校名稱,5年內桌機筆電平板設備數量,5年以上桌機筆電平板設備數量,學校小計
蘭雅國中,432,264,696
蘭雅國小,266,50,316
麗湖國小,439,168,607
麗山國中,527,173,700
麗山國小,393,80,473
麗山高中,1163,335,1498
關渡國中,627,89,716
關建國小,208,8,216
懷生國小,211,29,240
雙蓮國小,162,33,195
雙溪國小,286,8,294
雙圓國小,359,96,455
雙園國中,162,161,323
舊莊國小,355,102,457
總計,106702,34569,141271
濱江國中,217,44,261
濱江國小,112,85,197
龍門國中,241,271,512
龍安國小,438,108,546
龍山國中,509,228,737
龍山國小,345,74,419
螢橋國中,150,127,277
興德國小,321,40,361
興福國中,300,68,368
興雅國中,181,0,181
興雅國小,525,72,597
興隆國小,369,139,508
興華國小,224,75,299
論正國中,228,139,367
蓬萊國小,201,98,299
瑩橋國小,260,80,340
潭美國小,448,56,504
劍潭國小,134,58,192
儂生閩中,509,104,613
閣州園中,171,127,298
銘傳國小,279,74,353
臺北特殊教育學校,177,271,448
福德國小,415,174,589
福星國小,315,84,399
福林國小,275,90,365
福安國中,201,78,279
碧湖國小,232,207,439
?公國中,496,133,629
實踐閩中,300,241,541
實踐國小,430,10,440
葫蘆國小,432,12,444
萬興國小,446,162,608
萬福國小,324,138,462
萬華園中,254,169,423
萬華幼兒園,445,15,460
萬芳國小,16,121,137
萬芳高中,333,262,595
萬大國小,256,93,349
義方國小,1131,140,1271
溪山實小,344,34,378
溪口國小,146,57,203
新興國中,93,184,277
新湖國小,309,110,419
新和國小,226,43,269
新生國小,251,48,299
新民國中,228,104,332
陽明高中,124,277,401
陽明山國小,333,49,382
逸仙國小,171,118,289
華江國小,854,95,949
華江高中,271,277,548
湖田實小,103,83,186
湖山國小,260,72,332
景興國中,1,36,37
景興國小,915,165,1080
景美國中,78,70,148
景美國小,81,89,170
景美女高,286,641,927
敦仕國小,382,61,443
復興高中,808,208,1016
富安國小,352,145,497
博嘉實小,244,45,289
博愛國小,1080,62,1142
清江國小,778,84,862
康寧國小,628,89,717
國語實小,1358,138,1496
啟聰學校,193,108,301
啟明學校,170,78,248
健康國小,624,154,778
桃源閩中,207,82,289
桃源國小,415,84,499
修德國小,261,28,289
胡適國小,422,188,610
泉源實小,292,19,311
指南國小,184,87,271
建國高中,237,558,795
建安國小,291,166,457
南湖國小,281,148,429
南湖高中,1127,443,1570
南港國小,297,145,442
南港高中,223,250,473
南港高工,149,693,842
南港幼兒園,171,13,184
南鬥國中,205,287,619
南海實驗幼兒園,1585,42,1627
南門國小,519,65,584
信義閩中,658,180,838
信義國小,894,207,1101
信義幼兒園,423,12,435
雨聲國小,1,16,1073
長春國小,13,84,97
長安國中,41,125,166
長安國小,576,65,641
金華閩中,209,94,303
金華園小,437,96,533
芳和實中,414,183,597
芝山國小,26,60,86
社子國小,140,141,281
河堤國小,184,41,225
武功國小,300,192,492
松山國小,190,86,276
松山高中,561,225,786
松山家商,207,108,315
松山幼兒園,644,14,658
松山工農,410,889,1299
東新國小,327,146,473
東湖國中,443,164,607
東湖國小,173,214,387
東圍國小,238,90,328
東門國小,126,69,195
明德國中,249,313,562
明德國小,1193,60,1253
明道國小,1198,93,1291
明湖國中,16,115,131
明湖國小,1164,271,1435
明倫高中,480,130,610
忠義國小,249,34,283
忠孝國中,223,148,371
忠孝國小,475,57,532
延平國小,579,81,660
幸安國小,530,86,616
和平實小,455,0,455
和平高中,1858,158,2016
兩農國小,1504,34,1538
辛亥國小,307,126,433
育航幼兒園,177,48,225
育成高中,19,500,519
志清國小,504,140,644
吳興國小,677,42,719
西園國小,848,63,911
西湖國中,88,102,190
西湖國小,344,78,422
西松高中,236,246,482
至善國中,439,103,542
百齡高中,902,495,1397
成德國中,251,291,542
成淵高中,15,118,133
成功高中,114,314,428
吉林國小,808,165,973
光復國小,541,235,776
立農國小,447,63,510
石牌國中,258,266,524
石牌國小,198,340,538
玉成國小,175,40,215
永樂園小,334,240,574
永春國小,502,200,702
永春高中,519,132,651
永建國小,955,70,1025
永安國小,160,116,276
永吉國中,350,264,614
永吉國小,565,28,593
民權國中,1204,47,1251
民權國小,188,150,338
民族實中,254,39,293
民族國小,869,109,978
民生國中,1111,165,1276
民生國小,439,25,464
弘道國中,696,140,836
平等國小,313,12,325
市大附小,776,276,1052
古亭國中,651,95,746
古亭國小,163,123,286
北政國中,214,37,251
北投國中,330,125,455
北投國小,1183,76,1259
北投幼兒園,270,8,278
北安國中,330,162,492
北一女中,434,278,712
木柵國中,432,243,675
木柵國小,408,130,538
木柵高工,353,517,870
日新國小,432,107,539
文湖國小,312,105,417
文林國小,239,77,316
文昌國小,289,165,454
文仕國小,598,18,616
文山特教,497,234,731
文山幼兒園,68,14,82
太平國小,451,114,565
天母國中,204,54,258
天母國小,447,126,573
公館國小,124,69,193
內湖國中,448,121,569
內湖國小,463,21,484
內湖高中,1858,498,2356
內湖高工,17,371,388
內湖幼兒園,307,14,321
介壽國中,832,129,961
仁愛國中,254,188,442
仁愛國小,383,35,418
五常國中,1633,45,1678
五常國小,608,185,793
中崙高中,15,234,249
中正國中,293,25,318
中正國小,182,58,240
中正高中,292,43,335
中正幼兒園,120,14,134
中山國中,518,100,618
中山國小,300,173,473
中山幼兒園,19,15,34
中山女高,345,260,605
大龍國小,186,93,279
大橋國小,658,61,719
大湖國小,507,69,576
大理國小,147,110,257
大理高中,275,100,375
大直國小,582,58,640
大直高中,302,290,592
大佳國小,550,73,623
大安國中,1044,124,1168
大安國小,1584,159,1743
大安高工,279,794,1073
大安幼兒園,27,14,41
大同國小,669,39,708
大同高中,433,507,940
