schoolname,5年內設備數量,5年以上設備數量,學校小計,lat,lon
力行國小,22,187,209,24.9809691,121.5611618
三民國中,216,199,415,25.069167,121.586268
士東國小,221,29,250,25.1129301,121.526828
士林高商,1124,439,1563,25.09477,121.51677
士林國小,324,64,388,25.0932987,121.5248831
士林國中,290,55,345,25.09442,121.52259
大屯國小,662,32,694,25.154895,121.503983
大同國小,669,39,708,25.0652808,121.5161749
大安高工,279,794,1073,25.03199,121.54331
大安國小,1584,159,1743,25.0200093,121.549095
大安國中,1044,124,1168,25.03088,121.54616
大佳國小,550,73,623,25.073294,121.5363674
大直高中,302,290,592,25.07949,121.54321
大直國小,582,58,640,25.0804934,121.5460971
大理高中,275,100,375,25.030892,121.491299
大理國小,147,110,257,25.031305,121.4939132
大湖國小,507,69,576,25.0881206,121.6004795
大橋國小,658,61,719,25.064112,121.512544
大龍國小,186,93,279,25.073409,121.5166925
中山國小,300,173,473,25.063613,121.526363
中山國中,518,100,618,25.060544,121.545509
中正高中,292,43,335,25.104496,121.516566
中正國小,182,58,240,25.05049,121.5400725
中正國中,293,25,318,25.032333,121.522081
中崙高中,15,234,249,25.048705,121.561069
五常國小,608,185,793,25.0641393,121.5422023
五常國中,1633,45,1678,25.06349,121.543092
仁愛國小,383,35,418,25.0357732,121.55235
仁愛國中,254,188,442,25.0375,121.550681
介壽國中,832,129,961,25.056419,121.556516
內湖高工,17,371,388,25.079737,121.575447
內湖高中,1858,498,2356,25.07839,121.58666
內湖國小,463,21,484,25.0791258,121.5802392
內湖國中,448,121,569,25.076993,121.588723
公館國小,124,69,193,25.0124078,121.5428079
天母國小,447,126,573,25.1197914,121.5275331
天母國中,204,54,258,25.11808,121.53824
太平國小,451,114,565,25.061412,121.511472
文昌國小,289,165,454,25.099401,121.521359
文林國小,239,77,316,25.1059048,121.5147443
文湖國小,312,105,417,25.085771,121.5601224
日新國小,432,107,539,25.054494,121.5165179
木柵高工,353,517,870,24.995888,121.571876
木柵國小,408,130,538,24.9902695,121.5701489
木柵國中,432,243,675,24.987473,121.567685
北一女中,434,278,712,25.038606,121.513015
北安國中,330,162,492,25.077788,121.541624
北投國小,1183,76,1259,25.1342551,121.5003095
北投國中,330,125,455,25.134471,121.504233
北政國中,214,37,251,24.984888,121.578271
古亭國小,163,123,286,25.0205827,121.5287775
古亭國中,651,95,746,25.02452,121.51096
市大附小,776,276,1052,25.0360732,121.5152463
平等國小,313,12,325,25.129431,121.576643
弘道國中,696,140,836,25.037544,121.515294
民生國小,439,25,464,25.0565153,121.5521795
民生國中,1111,165,1276,25.05978,121.56673
民族國小,869,109,978,25.0594726,121.5518154
民權國小,188,150,338,25.0625251,121.562292
民權國中,1204,47,1251,25.06372,121.51388
永吉國小,565,28,593,25.0430088,121.5798853
永吉國中,350,264,614,25.048335,121.574141
永安國小,160,116,276,25.0787761,121.5494063
永建國小,955,70,1025,24.9875796,121.5500432
